WKT,SHAPE_Leng,SHAPE_Area
"POLYGON ((423149.886400000192225 2931852.033099999651,423089.498200000263751 2931852.033099999651,423089.498200000263751 2931956.1837,423149.886400000192225 2931956.1837,423149.886400000192225 2931852.033099999651))",    329.07760000200,   6289.46726299000
"POLYGON ((423322.850700000301003 2931896.434699999169,423267.3037 2931896.434699999169,423267.3037 2931986.6348,423322.850700000301003 2931986.6348,423322.850700000301003 2931896.434699999169))",    291.49420000200,   5010.34495478000
"POLYGON ((423256.8059 2931910.194,423175.0142 2931910.194,423175.0142 2932021.797599999234,423256.8059 2932021.797599999234,423256.8059 2931910.194))",    386.79059999800,   9128.24817004000
"POLYGON ((423572.683299999684095 2932193.767899999395,423553.851499999873 2932193.767899999395,423553.851499999873 2932223.2105,423572.683299999684095 2932223.2105,423572.683299999684095 2932193.767899999395))",     96.54880000090,    554.45715468700
"POLYGON ((423574.260599999688566 2932228.0007,423555.428799999878 2932228.0007,423555.428799999878 2932257.443299999461,423574.260599999688566 2932257.443299999461,423574.260599999688566 2932228.0007))",     96.54879999720,    554.45715465200
"POLYGON ((424699.591400000266731 2932152.396299999207,424699.353355378727429 2932152.395798680372536,424692.54105229745619 2932152.807867100927979,424685.828087935049552 2932154.038063477259129,424679.312352428212762 2932156.068448775447905,424673.088859872834291 2932158.869415406137705,424667.248362804413773 2932162.400118968915194,424661.876028821861837 2932166.609073855448514,424657.050198652141262 2932171.434904024936259,424652.841243765840773 2932176.807238007429987,424649.310540203063283 2932182.647735076025128,424646.509573572140653 2932188.871227631345391,424644.932 2932193.666799999774,424643.668588303728029 2932196.207507945597172,424642.506474140507635 2932199.250039706006646,424641.460755132487975 2932202.755126544740051,424640.548229951527901 2932206.666739416774362,424639.78275009826757 2932210.93013793323189,424639.182755598041695 2932215.448232100345194,424638.526526066765655 2932224.859664641786367,424638.630442159366794 2932233.98491628235206,424638.96284545288654 2932238.2549391486682,424639.475864753592759 2932242.23290542839095,424640.159324142616242 2932245.848793091252446,424641.006527623103466 2932249.0738415424712,424642.008438262273557 2932251.873884680680931,424643.156700000166893 2932254.2258,424644.629549829929601 2932257.908607542980462,424647.741533744556364 2932263.971729064825922,424651.548779550939798 2932269.624229913111776,424655.997841863543727 2932274.786761366762221,424661.026265599997714 2932279.3868528008461,424666.56346271338407 2932283.359929014462978,424672.531703094020486 2932286.650216727051884,424678.847205729514826 2932289.21152751147747,424685.421314806502778 2932291.007906178943813,424692.161744244280271 2932292.014135510195047,424698.973873188660946 2932292.216090251225978,424705.762074281694368 2932291.610935400705785,424712.431056059955154 2932290.207166005857289,424718.887200637836941 2932288.024487911723554,424725.039877897535916 2932285.093541134614497,424730.802717737096827 2932281.455469742417336,424736.094822517537978 2932277.161344282329082,424740.841902688203845 2932272.271444863639772,424744.97731964912964 2932266.854414954781532,424748.443021211249288 2932260.986297782044858,424751.190356521401554 2932254.749468846712261,424751.4527000002563 2932254.0285,424752.737990409310441 2932251.454754125326872,424753.929938192246482 2932248.375665633473545,424755.011909895169083 2932244.833950529806316,424755.965420286753215 2932240.889840961433947,424756.774902252713218 2932236.603698174934834,424757.420556338329334 2932232.075511648319662,424758.168005478917621 2932222.691035130992532,424758.14925167610636 2932213.68080828152597,424757.857006272126455 2932209.478193141054362,424757.381321183638647 2932205.567615663167089,424756.731210431957152 2932202.013996968045831,424755.912605393328704 2932198.843032227829099,424754.933614083798602 2932196.085905783809721,424753.801799999549985 2932193.763699999079,424752.197174187807832 2932188.871227759402245,424749.396207559097093 2932182.647735208738595,424745.865503998997156 2932176.807238144800067,424741.656549116014503 2932171.43490416649729,424736.830718950019218 2932166.609074,424731.458384971658234 2932162.400119117461145,424725.617887907777913 2932158.869415557477623,424719.394395357230678 2932156.068448928650469,424712.878659855457954 2932154.038063631858677,424706.165695498290006 2932152.80786725692451,424699.591400000266731 2932152.396299999207))",    411.89178587500,  13362.27861640000
"POLYGON ((423574.558899999596179 2932264.2061,423565.533099999651313 2932264.2061,423565.533099999651313 2932300.482799999416,423574.558899999596179 2932300.482799999416,423574.558899999596179 2932264.2061))",     90.60499999860,    327.42623885200
"POLYGON ((423683.416899999603629 2932335.4276,423683.416899999603629 2932337.968699999154,423683.433345010504127 2932336.6981499996036,423683.416899999603629 2932335.4276))",      5.08248379060,      0.02785987819
"POLYGON ((423634.001299999654293 2932214.389,423632.282425239274744 2932214.413854267913848,423626.630790853407234 2932215.035710883326828,423621.129926904279273 2932216.473825167864561,423615.897074756678194 2932218.697546212002635,423611.043763569090515 2932221.659479263238609,423606.673433243471663 2932225.296495859976858,423602.879229783080518 2932229.531079308595508,423599.742020047444385 2932234.272976814769208,423597.328668215370271 2932239.421123065054417,423596.06940000038594 2932243.3157,423596.06940000038594 2932338.286299999803,423596.073361251619644 2932338.340967759955674,423596.875483565439936 2932343.791297615971416,423598.462632348644547 2932349.066755367442966,423600.800980280386284 2932354.054903791286051,423603.84068953426322 2932358.649429163895547,423607.516973984893411 2932362.75240715360269,423611.751480011793319 2932366.276389908511192,423616.45395647076657 2932369.146269853692502,423621.524178240215406 2932371.300880481023341,423626.854082345904317 2932372.694300005678087,423632.330071135249455 2932373.296830109786242,423637.835433414438739 2932373.095628909766674,423643.252831944497302 2932372.094984660390764,423648.466804281284567 2932370.316224356647581,423653.366223656572402 2932367.797259185928851,423657.846667452598922 2932364.591776517219841,423661.812642788572703 2932360.768095649313182,423665.179621785704512 2932356.407711700536311,423667.875843132263981 2932351.603558684699237,423669.843841551279183 2932346.458028783090413,423671.041672573192045 2932341.080790031235665,423671.347099999897182 2932338.286299999803,423671.347099999897182 2932243.341399999335,423670.999520578887314 2932242.113526501692832,423668.968397438409738 2932236.802950663492084,423666.185693186242133 2932231.844701578374952,423662.710716332308948 2932227.344455717131495,423658.617529975192156 2932223.398128008004278,423653.993373275734484 2932220.08982757339254,423648.936802105745301 2932217.490065094549209,423643.555588500690646 2932215.654249994084239,423637.964423686033115 2932214.621509484481066,423634.001299999654293 2932214.389))",    405.17582208100,  10793.27905230000
"POLYGON ((423339.863199999555945 2932336.28009999916,423202.956699999981 2932336.28009999916,423202.956699999981 2932374.6786,423339.863199999555945 2932374.6786,423339.863199999555945 2932336.28009999916))",    350.61000000100,   5257.00424038000
